
PLUGINS [ 413 ]

Packages table
--------------

+-------+--------------------------+-----------------------------+---------------+---------------+---------+
| Count | Name                     | Slug                        | Version       | Installed     | Enabled |
| 191   | Presentation Deckset     | presentation-deckset        | v1.3.4        | not installed |         |
| 192   | Swiper                   | swiper                      | v1.0.0        | not installed |         |
| 193   | Tools Collection         | tools-collection            | v0.1.4        | not installed |         |
| 194   | Login OAuth2 Auth0       | login-oauth2-auth0          | v1.0.9        | not installed |         |
| 195   | Form Database            | form-database               | v2.0.0        | not installed |         |
| 196   | Translator               | translator                  | v1.1.0        | not installed |         |
| 197   | Mobile Detect            | mobile-detect               | v1.4.4        | not installed |         |
| 198   | Yandex Map               | yandex-map                  | v1.0.0        | not installed |         |
| 199   | Tabs                     | tabs                        | v0.1.0        | not installed |         |
| 200   | Web Monetization         | web-monetization            | v1.0.0        | not installed |         |
| 201   | Webpack Manifest         | webpack-manifest            | v1.0.0        | not installed |         |
| 202   | Database                 | database                    | v1.0.2        | not installed |         |
| 203   | PreCache                 | precache                    | v1.2.0        | not installed |         |
| 204   | Web components loade...  | webcomponents               | v3.9.0        | not installed |         |
| 205   | HAX                      | hax                         | v3.9.0        | not installed |         |
| 206   | Form Prefiller           | form-prefiller              | v1.1.5        | not installed |         |
| 207   | VCard                    | vcard                       | v0.1.0        | not installed |         |
| 208   | Embed Font Awesome       | embed-fontawesome           | v0.1.9        | not installed |         |
| 209   | Aura Authors             | aura-authors                | v1.0.0        | not installed |         |
| 210   | FullPage                 | fullpage                    | v1.3.0        | not installed |         |
| 211   | SimpleSAMLphp Login      | simplesamlphp-login         | v0.1.0        | not installed |         |
| 212   | MailChimp                | mailchimp                   | v0.2.1        | not installed |         |
| 213   | Static Social Embeds     | static-social-embeds        | v1.1.6        | not installed |         |
| 214   | Foundation For Sites     | foundation-for-sites        | v0.1.0        | not installed |         |
| 215   | Tag Manager              | tag-manager                 | v1            | not installed |         |
| 216   | Google Charts            | google-charts               | v1.2.0        | not installed |         |
| 217   | Simple Cookie            | simple-cookie               | v0.1.8        | not installed |         |
| 218   | Comments                 | comments                    | v1.2.8        | not installed |         |
| 219   | Laposta                  | laposta                     | v1.0.1        | not installed |         |
| 220   | Fathom Analytics         | fathom-analytics            | v1.1.0        | not installed |         |
| 221   | Sentry                   | sentry                      | v0.1.0        | not installed |         |
| 222   | Facebook Feed            | facebook-feed               | v0.1.1        | not installed |         |
| 223   | Admin Frontmatter Ya...  | admin-frontmatter-yaml      | v0.1.3        | not installed |         |
| 224   | Login LDAP               | login-ldap                  | v1.0.2        | not installed |         |
| 225   | Geocoding                | geocoding                   | v1.2.1        | not installed |         |
| 226   | Views                    | views                       | v1.1.0        | not installed |         |
| 227   | Taxonomy List            | taxonomylist                | v1.3.5        | not installed |         |
| 228   | Markdown Notices         | markdown-notices            | v1.1.0        | installed     | enabled |
| 229   | Archives                 | archives                    | v2.0.2        | not installed |         |
| 230   | Quick Save               | quicksave                   | v1.0.13       | not installed |         |
| 231   | Admin Power Tools        | admin-power-tools           | v0.1.17       | not installed |         |
| 232   | Core Service Manager     | core-service-manager        | v1.1.4        | not installed |         |
| 233   | Editor                   | editor                      | v0.1.12       | not installed |         |
| 234   | Markdown Yet Another...  | markdown-yalinker           | v1.0.0        | not installed |         |
| 235   | Zapier RSS               | zapier-rss                  | v1.0.0        | not installed |         |
| 236   | Sqlite                   | sqlite                      | v1.5.4        | not installed |         |
| 237   | Map Marker Leaflet       | map-marker-leaflet          | v1.1.2        | not installed |         |
| 238   | Img Captions             | imgcaptions                 | v3.2.0        | not installed |         |
| 239   | JSON-LD Breadcrumbs      | json-ld-breadcrumbs         | v1.0.2        | not installed |         |
| 240   | Hypothesis               | hypothesis                  | v1.0.2        | not installed |         |
| 241   | External Links           | external_links              | v1.6.3        | not installed |         |
| 242   | Affiliate Links          | affiliate-links             | v1.0.0        | not installed |         |
| 243   | Social Media Links       | social-media-links          | v1.0.3        | not installed |         |
| 244   | Stripe Checkout          | stripe-checkout             | v1.1.0        | not installed |         |
| 245   | Password Protection      | password-protection         | v0.1.2        | not installed |         |
| 246   | Highlight                | highlight                   | v1.5.0        | not installed |         |
| 247   | Markdown Typography      | markdown-typography         | v1.0.5        | not installed |         |
| 248   | TinyMCE Editor Integ...  | tinymce-editor              | v1.3.3        | not installed |         |
| 249   | Matomo                   | matomo                      | v1.2.1        | not installed |         |
| 250   | DNS Blacklist            | dns-blacklist               | v1.0.2        | not installed |         |
| 251   | Shortcode Owl Carous...  | shortcode-owl-carousel      | v1.0.4        | not installed |         |
| 252   | File Browser             | file-browser                | v0.2.8        | not installed |         |
| 253   | Flex Objects Json        | flex-objects-json           | v0.1.0        | not installed |         |
| 254   | Bootstrapper             | bootstrapper                | v3.0.0        | not installed |         |
| 255   | Widget                   | widget                      | v1.5.0        | not installed |         |
| 256   | Shortcode Media          | shortcode-media             | v1.0.0        | not installed |         |
| 257   | Presentation             | presentation                | v4.0.3        | not installed |         |
| 258   | Problems                 | problems                    | v2.1.1        | installed     | enabled |
| 259   | ExtraWatch - Real-ti...  | extrawatch-grav-stats       | v1.0.1        | not installed |         |
| 260   | Admin Addon User Man...  | admin-addon-user-manager    | v2.6.0        | not installed |         |
| 261   | Cloudinary               | cloudinary                  | v1.2.3        | not installed |         |
| 262   | Simple Events            | simple-events               | v1.4.1        | not installed |         |
| 263   | Raspberry Pi CPU Tem...  | pi-cpu-temp                 | v0.1.0        | not installed |         |
| 264   | BibTeXify                | bibtexify                   | v1.2.0        | not installed |         |
| 265   | Frontend Edit Button     | frontend-edit-button        | v1.2.2        | not installed |         |
| 266   | Aura                     | aura                        | v2.1.2        | not installed |         |
| 267   | Update Notifications     | update-notifications        | v1.0.1        | not installed |         |
| 268   | Git Sync                 | git-sync                    | v2.3.2        | not installed |         |
| 269   | Automagic Images         | automagic-images            | v1.0.5        | not installed |         |
| 270   | Markdown Details         | markdown-details            | v2.0.0        | not installed |         |
| 271   | Image Comparer           | image-comparer              | v1.0.0        | not installed |         |
| 272   | Xapi                     | xapi                        | v0.3.6        | not installed |         |
| 273   | PageLocks                | pagelocks                   | v1.0.0-beta   | not installed |         |
| 274   | Viewer3d                 | viewer3d                    | v0.1.0        | not installed |         |
| 275   | Crypto Ticker            | crypto-ticker               | v0.1.0        | not installed |         |
| 276   | Error                    | error                       | v1.8.0        | installed     | enabled |
| 277   | MoceanAPI Form SMS N...  | moceanapi-form-notification | v1.0.1        | not installed |         |
| 278   | Social & SEO Meta Ta...  | social-seo-metatags         | v3.0.2        | not installed |         |
| 279   | Cloudflare Manager       | cloudflare                  | v1.0.2        | not installed |         |
| 280   | Logger Channels          | logger-channels             | v1.1.1        | not installed |         |
| 281   | Anchors                  | anchors                     | v1.6.0        | not installed |         |
| 282   | sms77 Form SMS Notif...  | sms77-form-notification     | v1.0.0        | not installed |         |
| 283   | Shortcode UI             | shortcode-ui                | v3.0.1        | not installed |         |
| 284   | Spacer                   | spacer                      | v0.1.0        | not installed |         |
